foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q27973930,Órlaithí Flynn,Q76382,Sinn Féin,6918,Q28231972,2017 Assembly election,1
,Q20979152,Gerry Carroll,Q3545406,People Before Profit Alliance,8252,Q28231972,2017 Assembly election,2
,Q1116655,Alex Maskey,Q76382,Sinn Féin,7036,Q28231972,2017 Assembly election,3
,Q5477442,Fra McCann,Q76382,Sinn Féin,7067,Q28231972,2017 Assembly election,4
,Q428996,Pat Sheehan,Q76382,Sinn Féin,5903,Q28231972,2017 Assembly election,5
,Q5488270,Frank McCoubrey,Q215519,Democratic Unionist Party,4521,Q28231972,2017 Assembly election,6
,Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,4019,Q28231972,2017 Assembly election,7
,,Matthew Collins,Q3545406,People Before Profit Alliance,1096,Q28231972,2017 Assembly election,8
Q76130673,,Sorcha Eastwood,Q244927,Alliance Party of Northern Ireland,747,Q28231972,2017 Assembly election,9
,,Fred Rogers,Q841045,Ulster Unionist Party,486,Q28231972,2017 Assembly election,10
Q98270807,,Conor Campbell,Q1860218,Workers' Party of Ireland,415,Q28231972,2017 Assembly election,11
,,Ellen Murray,Q1096979,Green Party in Northern Ireland,251,Q28231972,2017 Assembly election,12
,Q20979152,Gerry Carroll,Q3545406,People Before Profit Alliance,8299,Q16973450,2016 Assembly election,1
,Q1116655,Alex Maskey,Q76382,Sinn Féin,5360.80,Q16973450,2016 Assembly election,2
,Q428996,Pat Sheehan,Q76382,Sinn Féin,6393.20,Q16973450,2016 Assembly election,3
,Q5477442,Fra McCann,Q76382,Sinn Féin,5891.73,Q16973450,2016 Assembly election,4
,Q3807885,Jennifer McCann,Q76382,Sinn Féin,5750.11,Q16973450,2016 Assembly election,5
,Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,4430.20,Q16973450,2016 Assembly election,6
,Q5488270,Frank McCoubrey,Q215519,Democratic Unionist Party,4341.21,Q16973450,2016 Assembly election,7
,Q7368901,Rosie McCorley,Q76382,Sinn Féin,3303.24,Q16973450,2016 Assembly election,8
Q98270807,,Conor Campbell,Q1860218,Workers' Party of Ireland,766.54,Q16973450,2016 Assembly election,9
,,Ellen Murray,Q1096979,Green Party in Northern Ireland,705.84,Q16973450,2016 Assembly election,10
,,Gareth Martin,Q841045,Ulster Unionist Party,668.96,Q16973450,2016 Assembly election,11
,,Jemima Higgins,Q244927,Alliance Party of Northern Ireland,427.40,Q16973450,2016 Assembly election,12
,Q694929,Paul Maskey,Q76382,Sinn Féin,5343,Q7058474,2011 Assembly election,1
,Q3807885,Jennifer McCann,Q76382,Sinn Féin,5239,Q7058474,2011 Assembly election,2
,Q5477442,Fra McCann,Q76382,Sinn Féin,5167.34,Q7058474,2011 Assembly election,3
,Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,5151.65,Q7058474,2011 Assembly election,4
,Q7634245,Sue Ramsey,Q76382,Sinn Féin,4823.06,Q7058474,2011 Assembly election,5
,Q428996,Pat Sheehan,Q76382,Sinn Féin,4327.19,Q7058474,2011 Assembly election,6
